gene	species
GUT_GENOME179249_00448	100003
GUT_GENOME179420_01694	100003
GUT_GENOME179420_01752	100003
GUT_GENOME180001_01440	100003
GUT_GENOME180170_00122	100003
GUT_GENOME180263_01891	100003
GUT_GENOME180279_00285	100003
GUT_GENOME180823_00550	100003
GUT_GENOME180823_00624	100003
GUT_GENOME180823_01908	100003
GUT_GENOME180823_01916	100003
GUT_GENOME180987_01006	100003
GUT_GENOME180987_01048	100003
GUT_GENOME181124_01599	100003
GUT_GENOME183586_02041	100003
GUT_GENOME183603_00070	100003
GUT_GENOME183603_01518	100003
GUT_GENOME183603_01546	100003
GUT_GENOME186517_01922	100003
GUT_GENOME186970_01650	100003
GUT_GENOME187476_00329	100003
GUT_GENOME187476_00569	100003
GUT_GENOME187476_01198	100003
GUT_GENOME187476_01325	100003
GUT_GENOME187670_01805	100003
GUT_GENOME188117_01826	100003
GUT_GENOME188117_01828	100003
GUT_GENOME188117_01999	100003
GUT_GENOME188238_00003	100003
GUT_GENOME188238_00545	100003
GUT_GENOME188774_01217	100003
GUT_GENOME189402_01785	100003
GUT_GENOME189461_00187	100003
GUT_GENOME189491_01375	100003
GUT_GENOME189491_01720	100003
GUT_GENOME190405_00828	100003
GUT_GENOME190699_00475	100003
GUT_GENOME190699_01097	100003
GUT_GENOME190954_01389	100003
GUT_GENOME190954_01637	100003
GUT_GENOME192091_00999	100003
GUT_GENOME192363_01155	100003
GUT_GENOME192397_00102	100003
GUT_GENOME192397_00676	100003
GUT_GENOME192397_01376	100003
GUT_GENOME192397_01843	100003
GUT_GENOME192397_01868	100003
GUT_GENOME194502_00739	100003
GUT_GENOME194744_00092	100003
GUT_GENOME194744_01156	100003
GUT_GENOME194744_01317	100003
GUT_GENOME194749_00545	100003
GUT_GENOME194749_01424	100003
GUT_GENOME194784_00088	100003
GUT_GENOME195010_00590	100003
GUT_GENOME195258_01845	100003
GUT_GENOME195466_01018	100003
GUT_GENOME195466_01211	100003
GUT_GENOME195518_00067	100003
GUT_GENOME195560_01403	100003
GUT_GENOME198690_01018	100003
GUT_GENOME198690_01617	100003
GUT_GENOME199713_01017	100003
GUT_GENOME199713_01630	100003
GUT_GENOME200527_01277	100003
GUT_GENOME200688_00359	100003
GUT_GENOME200688_01911	100003
GUT_GENOME201020_00501	100003
GUT_GENOME201020_00679	100003
GUT_GENOME201020_00703	100003
GUT_GENOME201020_00720	100003
GUT_GENOME201020_00945	100003
GUT_GENOME201020_01223	100003
GUT_GENOME201020_01293	100003
GUT_GENOME201152_01351	100003
GUT_GENOME201152_01893	100003
GUT_GENOME202446_00486	100003
GUT_GENOME202446_00866	100003
GUT_GENOME202446_01564	100003
GUT_GENOME202485_01636	100003
GUT_GENOME202485_01740	100003
GUT_GENOME202485_02061	100003
GUT_GENOME202493_01212	100003
GUT_GENOME202493_01816	100003
GUT_GENOME202545_01762	100003
GUT_GENOME202886_00237	100003
GUT_GENOME202886_00952	100003
GUT_GENOME202886_01477	100003
GUT_GENOME202886_01499	100003
GUT_GENOME202886_01679	100003
GUT_GENOME202886_02203	100003
GUT_GENOME202886_02313	100003
